Titula,Ime,Prezime,GodinaRodjenja,GodinaRodjenjaPNE,GodinaSmrti,GodinaSmrtiPNE,Pol,Slika,MestoRodjenja,Zemlja,Tekst,Dinastija,Teritorija,PocetakVladavineGod,PocetakVladavinePNE,KrajVladavineGod,KrajVladavinePNE
Kralj,Filip,II,382,true,336,true,Muški,,Makedonija,Makedonija,Otac Aleksandra Velikog,Makedonska Dinastija,Makedonija,359,true,336,true
Car,Justinijan,I,483,false,565,false,Muški,,Vizantija,Vizantija,Vizantijski car,Justinijanska Dinastija,Vizantija,527,false,565,false
Knez,Stefan,Nemanja,1113,false,1199,false,Muški,,Raška,Srbija,Osnivač srpske srednjovekovne države,Nemanjićka Dinastija,Srbija,1166,false,1196,false
Kralj,Petar,I,1844,false,1921,false,Muški,,Srbija,Srbija,Kralj Srbije,Obrenovići,Srbija,1903,false,1921,false
Car,Sulejman,Veliki,1494,false,1566,false,Muški,,Osmanlijsko carstvo,Osmanlijsko carstvo,Osmanlijski sultan,Osmanlijska Dinastija,Osmanlijsko carstvo,1520,false,1566,false
